feature,coefficient
cat__BsmtCond_Fa,-0.07993646364326348
cat__RoofStyle_Gable,-0.08030608142792953
cat__RoofStyle_Hip,-0.08077987778076703
cat__SaleType_ConLw,-0.0810497492566605
cat__LandSlope_Sev,-0.08575060164717713
cat__Neighborhood_Blueste,-0.09954413148557839
cat__Utilities_NoSeWa,-0.10303837224865248
cat__LotConfig_FR3,-0.10684238240233318
cat__GarageType_2Types,-0.11751196531032267
cat__SaleType_ConLI,-0.134214686023142
cat__Foundation_Wood,-0.13433830000540498
cat__Exterior2nd_Other,-0.13778787296381545
cat__Functional_Maj2,-0.1651919559976293
cat__Exterior1st_BrkComm,-0.17134492109684316
cat__Neighborhood_MeadowV,-0.18799728595815923
cat__MSZoning_C (all),-0.26836453306023145
cat__Heating_Grav,-0.3047610126871142
cat__Functional_Sev,-0.31415399980013736
cat__GarageCond_Ex,-0.3158148884213846
cat__GarageQual_Po,-0.38383312830888033
cat__Condition2_PosN,-0.7278773240089326
cat__RoofMatl_ClyTile,-2.343389545847706
